session_id,timestamp,user_id,original_language,target_language,speech_duration_sec,speech_speed_wpm,audio_clarity,visual_scene_type,lighting_condition,object_detected,translated_text_length_words,translation_accuracy_percent
1,2025-04-14 21:54:17,5706,Igbo,Yoruba,8.12,175.07,Moderate,Indoor,Natural,Sign,47,91.19
2,2025-04-13 09:46:39,3710,French,Arabic,12.34,124.58,Clear,Outdoor,Bright,Text,27,62.32
3,2025-03-08 07:02:13,1617,Yoruba,Arabic,17.46,140.11,Noisy,Market,Artificial,Sign,28,86.04
4,2025-02-16 11:49:38,3938,Arabic,Yoruba,2.07,152.2,Clear,Outdoor,Natural,Sign,34,68.49
5,2025-03-10 04:31:40,6534,Yoruba,Igbo,4.45,98.34,Moderate,Street,Dim,Text,16,84.47
6,2025-05-16 21:11:35,3021,Arabic,English,1.13,82.31,Moderate,Market,Natural,Person,31,84.47
7,2025-06-16 05:06:53,2618,Yoruba,English,3.65,109.21,Noisy,Outdoor,Dim,Person,20,69.31
8,2025-06-25 01:59:42,1816,Hausa,Igbo,2.72,141.84,Noisy,Street,Bright,Obstacle,48,80.57
9,2025-06-27 15:54:28,4348,English,Igbo,12.26,84.65,Noisy,Street,Natural,Sign,11,66.82
10,2025-05-30 10:40:42,4528,Hausa,English,2.24,174.89,Moderate,Classroom,Artificial,Person,18,92.34
11,2025-04-10 22:23:10,6689,Igbo,English,6.79,89.77,Moderate,Market,Bright,Sign,24,69.64
12,2025-05-11 04:12:29,8172,Hausa,French,13.98,141.0,Clear,Indoor,Dim,Obstacle,12,61.38
13,2025-02-04 22:42:11,3212,English,French,18.28,105.88,Clear,Classroom,Artificial,Text,44,90.21
14,2025-01-13 03:31:34,6393,French,English,9.08,100.79,Clear,Office,Bright,None,8,67.39
15,2025-02-08 11:07:18,2000,Arabic,English,19.42,157.51,Moderate,Indoor,Bright,Text,38,75.81
16,2025-05-24 00:35:28,9795,English,French,18.61,152.73,Noisy,Classroom,Artificial,Text,19,63.54
17,2025-01-20 12:28:11,9506,English,Hausa,4.72,84.52,Noisy,Office,Artificial,Person,44,93.78
18,2025-01-31 08:15:09,3640,Igbo,French,15.2,133.97,Moderate,Market,Dim,Text,28,74.27
19,2025-05-04 07:03:37,7660,French,Hausa,6.34,134.27,Moderate,Outdoor,Bright,Sign,45,71.85
20,2025-02-22 02:13:32,4006,Yoruba,French,4.14,81.56,Noisy,Office,Artificial,Obstacle,13,90.89
21,2025-04-09 08:59:27,1702,Arabic,French,4.78,80.55,Clear,Street,Dim,Obstacle,15,67.95
22,2025-01-04 00:19:11,1592,English,Igbo,14.52,159.02,Moderate,Market,Artificial,Text,9,97.05
23,2025-04-01 07:33:37,6450,Hausa,English,13.37,171.5,Noisy,Market,Dim,Obstacle,13,84.93
24,2025-05-18 00:41:35,6671,Arabic,Igbo,7.29,86.36,Clear,Street,Artificial,Text,27,86.75
25,2025-03-30 01:35:28,9970,Arabic,English,13.65,139.13,Noisy,Indoor,Natural,Person,26,95.49
26,2025-03-02 14:37:33,2874,Hausa,Igbo,9.97,91.96,Moderate,Street,Dim,Text,18,93.96
27,2025-04-24 09:43:54,2467,Hausa,Yoruba,14.71,103.6,Moderate,Classroom,Bright,None,18,79.75
28,2025-05-30 07:16:08,1329,Hausa,Yoruba,10.93,122.75,Moderate,Market,Dim,Person,46,77.57
29,2025-04-07 08:14:38,3409,French,English,4.83,169.58,Moderate,Outdoor,Dim,Person,36,87.82
30,2025-03-31 05:23:35,5470,English,Igbo,3.65,140.44,Noisy,Classroom,Natural,Text,19,90.22
31,2025-04-23 07:33:41,9967,Igbo,Yoruba,5.35,87.7,Clear,Market,Bright,Sign,26,95.22
32,2025-02-10 20:30:51,7938,English,French,12.86,109.56,Noisy,Street,Dim,Obstacle,10,78.26
33,2025-02-02 21:36:24,4300,Hausa,French,5.15,121.65,Noisy,Indoor,Artificial,Sign,15,72.97
34,2025-05-25 12:04:23,1429,Hausa,English,3.32,115.63,Moderate,Office,Natural,Sign,37,70.89
35,2025-06-14 17:04:41,1411,Arabic,Igbo,13.31,80.05,Noisy,Outdoor,Dim,None,17,94.43
36,2025-03-15 15:04:34,3676,Igbo,Arabic,1.13,131.07,Noisy,Market,Artificial,Sign,13,79.39
37,2025-05-28 01:10:08,2500,French,Arabic,14.16,106.94,Clear,Classroom,Dim,Text,28,97.72
38,2025-05-11 20:41:22,9720,Hausa,Igbo,7.14,131.88,Moderate,Market,Bright,None,45,76.15
39,2025-06-10 02:38:30,6019,English,Hausa,2.23,105.39,Noisy,Office,Artificial,None,16,70.07
40,2025-03-19 10:50:50,3727,Hausa,Arabic,10.45,110.09,Moderate,Classroom,Artificial,Text,21,70.67
41,2025-04-01 09:21:54,4018,English,Yoruba,19.56,121.1,Moderate,Office,Artificial,Sign,27,71.15
42,2025-05-25 21:26:19,4315,Hausa,Yoruba,18.26,103.96,Clear,Market,Bright,Obstacle,6,81.24
43,2025-03-02 03:29:21,4051,Igbo,Yoruba,9.51,135.29,Moderate,Street,Natural,Sign,8,63.23
44,2025-03-19 00:31:47,4389,Arabic,Hausa,8.02,104.22,Moderate,Indoor,Dim,None,42,74.71
